Windows
Macintosh
VoIP Phones/Adapters
Routers and APs
Linux
Gaming Consoles
Home Audio/Video Equipment
Printers
Switches
Storage Devices
Smartphones/PDAs/Tablets
Monitoring Devices
Video Conferencing
BSD
Misc
Dead OSes
Network Boot Agents
CD-Based OSes
Solaris
Projectors
Thin Clients
Physical Security
Datacenter appliance
Point of Sale devices
Scanner
Microsoft Windows XP (Version 5.1, 5.2)
Microsoft Windows 2000 (Version 5.0)
Microsoft Windows ME (Version 4.90)
Microsoft Windows 98 (Version 4.10)
Microsoft Windows 95 (Version 4.0)
Microsoft Windows NT 4 (Version 4.0)
Microsoft Windows 98SE (Version 4.10)
Microsoft Windows Vista/7 or Server 2008 (Version 6.0)
Microsoft Windows 2003 (Version 5.2)
Microsoft Windows 8 or 8.1 (Version 6.2)
Microsoft Windows 7 or Server 2008 R2 or Server SBS 2011 (Version 6.1)
Microsoft Windows XP for embedded devices
Mac OS X
Mac OS 9
Mac OS X Lion
Cisco IP Phone
Avaya IP Phone
BATM VoIP Adapter
Linksys PAP VoIP
Mediatrix VoIP Adapter
Uniden DTA VoIP Adapater
UniData IP Phone
Sunrocket VoIP Gizmo
Sipura VoIP Adaptor
Clipcomm IP Phone
Nortel IP Phone
ZyXEL WiFi Phone
UTStarcom F3000
ShoreTel IP Phone
Siemens OpenStage IP Phones
Siemens optiPoint WL2 Professional
Siemens optiPoint 410/420
Alcatel Advanced Reflex IP Phone
Alcatel IP Touch 8 Series Phones
Cisco/Linksys SPA series IP Phone
Siemens optiPoint 150 S
Mitel IP Phone
Polycom Conference IP Phone
Polycom SoundPoint IP 430
Snom VoIP solutions
Aastra VoIP
Nortel IP Phone Model 1535
Polycom SoundPoint IP 450
Polycom SoundStation IP 6000
Polycom SoundPoint IP 301
GrandStream HandyTone 503 ATA
Unidentified Polycom
MagicJack Plus
Cisco ATA 186
Gigaset Communications GmbH
XIAMEN YEALINK NETWORK TECHNOLOGY
NetCODEC Co VoIP
Panasonic KX-UDS124CE SIP-DECT Base Station
Grandstream Telephone
2N TELEKOMUNIKACE Helios Phones
Cisco Wireless Access Point
Compex Wireless Access Point
Cisco/Linksys Router
Netgear Router
OEMed Wireless Router
Apple Airport
Symbol Wireless Access Point
Nortel/Trapeze Wireless Access Point
Gemtek Wireless Router
D-Link Wireless Router
2Wire Residential Gateway
Motorola Router
Buffalo Wireless AP
Bluesocket BSC
DD-WRT Router
Trendnet Access Point
TP-Link Wireless LAN Router
Ruckus Wireless
Enterasys or Trapeze Wireless Access Point
Enterasys HiPath Wireless Access Point
Quanta Microsystems Router
HP ProCurve Access Point
HP ProCurve Controller
Aruba Access Point
Trendnet Wireless Router
Belkin Wireless Router
MikroTik (RouterOS)
Freebox Wireless Router
AeroHive Hive Access Points
Tenda Wireless Router
Zioncom Wireless Router
AP Meraki
Actiontec Wireless Router
N300 Wireless Router
Motorola AP 6511
Sophos/Astaro Wireless Access Point AP 10 Access Point
Debian-based Linux
Generic Linux
SUSE Linux/Novell Desktop
RedHat/Fedora-based Linux
Gentoo Linux
Ubuntu/Debian 5/Knoppix 6
FortiOS
Puppy Linux 4.x
Meego Netbook
Ubuntu Server 10.04 LTS
Suse Linux Enterprise Desktop 11
Ubuntu 11.04
Fedora 14 based distro
Chrome OS
Fedora 15 or 16 based distro
RHEL 6.4 or Centos6.4
Linux Ubuntu 14.04
Xbox
Xbox 360
Playstation 2
Gamecube
Wii
Playstation 3 or Playstation Portable (PSP)
TiVo
Replay TV
Amino Aminet Set Top Box
Slingbox
Motorola NIM100
Sony player
Panasonic G20 Television
ClearOne Gentner Communications CONVERGE1212 CONVERGE880
Samsung SMART-TV
VBrick Multimedia System
Extron Electronics
Arecont Vision
ACTi Corporation
Axis communications ab
Matsushita electric / Panasonic
Amino’s IPTV
TV-IP512P PoE Network Camera
HP Printer
Canon Printer
Xerox Printer
Dell Printer
Brother Printer
Tally Printer
Kyocera Printer
Epson Printer
Lexmark Printer
Trendnet Printserver
Generic Printer
Toshiba Multifunction Printer
Ricoh Multifunction Printer
Konica Minolta Multifunction Printer
Zebra Printer
SEH COMPUTERTECHNIK GMBH
Oki Xante llumina
Shandong New Beiyang Information Technology
Panasonic MB2030CX
Cisco Catalyst 29xx
Cisco Catalyst 35xx
HP ProCurve
Enterasys SecureStacks
Cisco Small Business
3Com Switches
HP ProCurve 1800-8G
HP ProCurve 3500yl
3Com 4400 SE Switch
Hotway LanDrive
LaCie NAS
Xyratex NAS
Synology NAS
NAS4FREE
Iomega Backup Center
Nokia
RIM BlackBerry
Apple iPod, iPhone or iPad
HTC Android
Symbian OS
Sony Ericsson Android
Apple iPod
Samsung S8000
Samsung S8500
Sony Ericsson W800i
LG BL40
Generic Android
Samsung Android
Palm OS
Sharp Phone
Android Tablet
Unknown Android
Motorola Android
Vizio Android Tablet
Sony Ericsson CK15A
ZTE N9120 Android
Samsung GT-S5690M (Galaxy Ruby)
Kindle HD
Samsung S5260 Star II
Samsung Galaxy Tab 3 7.0 SM-T210R
Android LG Nexus 5 & 7
Barnes and Noble Nook (eReader)
LG G2 F320
Windows Phone 8.0
NetBotz WallBotz 400C
HP iLO Agent
APC UPS
Tripplite UPS
Tandberg 1000
Polycom ViewStation
Tandberg
Polycom VSX 3000
LifeSize Video Conferencing
OpenBSD
FreeBSD
Eye-Fi Wireless Memory Card
APC Uninterruptible Power Supply
PHAST Electronics
ROBE
Intermec corporation
Tattile Camera
Alps Electric
OS/2 Warp
BeOS
Etherboot/Sun Blade 100
PXE
Novell Netware Client
Anaconda (RedHat) Installer
Apple Netboot
Etherboot/gPXE
Generic Intel PXE
Linspire
PHLAK
Knoppix
OpenSolaris
Solaris 8 (SunOS 5.8)
Epson Projectors
NEC Projectors
Neoware e100 NeoLinux
Neoware Capio Windows CE
Generic Thin Client
Wyse Technology thin client
Paradox Card Access module
VMware vCenter Server Appliance
Precision time and frequency reference system
Moneris HiSpeed 3100IP
PCS Revenue Control Systems
Epson Expression Graphic Arts Scanner
